
2024/09/03 (23:41:43) | ===> btop++ v.1.3.2
2024/09/03 (23:41:43) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/09/04 (12:05:28) | ===> btop++ v.1.3.2
2024/09/04 (12:05:28) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/09/04 (18:25:55) | ===> btop++ v.1.3.2
2024/09/04 (18:25:55) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/09/05 (13:21:14) | ===> btop++ v.1.3.2
2024/09/05 (13:21:14) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/09/05 (13:22:37) | ===> btop++ v.1.3.2
2024/09/05 (13:22:37) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/09/05 (13:44:20) | ===> btop++ v.1.3.2
2024/09/05 (13:44:20) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/09/05 (13:57:06) | ===> btop++ v.1.3.2
2024/09/05 (13:57:06) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/09/05 (15:02:24) | ===> btop++ v.1.3.2
2024/09/05 (15:02:24) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/09/06 (17:03:49) | ===> btop++ v.1.3.2
2024/09/06 (17:03:49) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/09/06 (20:21:08) | ===> btop++ v.1.3.2
2024/09/06 (20:21:08) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/09/07 (12:00:08) | ===> btop++ v.1.3.2
2024/09/07 (12:00:08) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/09/07 (20:34:39) | ===> btop++ v.1.3.2
2024/09/07 (20:34:39) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/09/07 (21:47:46) | ===> btop++ v.1.3.2
2024/09/07 (21:47:46) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/09/07 (22:02:20) | ===> btop++ v.1.3.2
2024/09/07 (22:02:20) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/09/07 (22:54:12) | ===> btop++ v.1.3.2
2024/09/07 (22:54:12) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/09/08 (21:26:11) | ===> btop++ v.1.3.2
2024/09/08 (21:26:11) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/09/09 (12:11:33) | ===> btop++ v.1.3.2
2024/09/09 (12:11:33) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/09/09 (17:44:59) | ===> btop++ v.1.3.2
2024/09/09 (17:44:59) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/09/09 (18:28:27) | ===> btop++ v.1.3.2
2024/09/09 (18:28:27) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/09/09 (18:31:30) | ===> btop++ v.1.3.2
2024/09/09 (18:31:30) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/09/09 (21:53:00) | ===> btop++ v.1.3.2
2024/09/09 (21:53:00) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

